# [0]           [1]            [2]            [3]            
# t             max-min        max(By^2)      pm             
1.309940e+01  3.386093e-01  1.892079e-01  2.506120e-02
1.319891e+01  3.307408e-01  2.051469e-01  2.511890e-02
1.329822e+01  3.080490e-01  1.713185e-01  2.507081e-02
1.339788e+01  3.075113e-01  9.748706e-02  2.495785e-02
1.349779e+01  3.112909e-01  8.887696e-02  2.486101e-02
1.359787e+01  2.883808e-01  9.116718e-02  2.486291e-02
1.369825e+01  2.465334e-01  1.000131e-01  2.499419e-02
1.379905e+01  2.328434e-01  9.623247e-02  2.514406e-02
1.389787e+01  2.305166e-01  8.639278e-02  2.520286e-02
1.399890e+01  2.309403e-01  7.271562e-02  2.517799e-02
1.409784e+01  2.264500e-01  9.517480e-02  2.509172e-02
1.419910e+01  2.193857e-01  9.149506e-02  2.494077e-02
1.429942e+01  2.151130e-01  8.322747e-02  2.474652e-02
1.439898e+01  2.134400e-01  9.521561e-02  2.448128e-02
1.449818e+01  2.153773e-01  9.017495e-02  2.417445e-02
1.459928e+01  2.315788e-01  8.523337e-02  2.384342e-02
1.469788e+01  2.567389e-01  8.097141e-02  2.348113e-02
1.479847e+01  2.864211e-01  8.568793e-02  2.308253e-02
1.489936e+01  3.044702e-01  9.001124e-02  2.270203e-02
1.499882e+01  3.073930e-01  9.197784e-02  2.237927e-02
1.509879e+01  3.042777e-01  9.340363e-02  2.213878e-02
1.519863e+01  2.895426e-01  9.760663e-02  2.196393e-02
1.529807e+01  2.813408e-01  9.874350e-02  2.177826e-02
1.539961e+01  2.761150e-01  1.003505e-01  2.158589e-02
1.549976e+01  2.476106e-01  1.019713e-01  2.145074e-02
1.559858e+01  2.019012e-01  9.963985e-02  2.138607e-02
1.569968e+01  1.967819e-01  1.004679e-01  2.138028e-02
1.579842e+01  2.037322e-01  1.002544e-01  2.137559e-02
1.589943e+01  2.135402e-01  1.025645e-01  2.132783e-02
1.599840e+01  2.128189e-01  1.020981e-01  2.121277e-02
1.609960e+01  2.285979e-01  1.008567e-01  2.101850e-02
1.619887e+01  2.429822e-01  9.909563e-02  2.076163e-02
1.629780e+01  2.488121e-01  9.702574e-02  2.049096e-02
1.639822e+01  2.489047e-01  9.422327e-02  2.023238e-02
1.649855e+01  2.521309e-01  8.932483e-02  1.995010e-02
1.659951e+01  2.686565e-01  8.515464e-02  1.964634e-02
1.669870e+01  2.884453e-01  8.261518e-02  1.933767e-02
1.679826e+01  3.186615e-01  8.080744e-02  1.903135e-02
1.689805e+01  3.336047e-01  7.951973e-02  1.875889e-02
1.699806e+01  3.324017e-01  7.714999e-02  1.853545e-02
1.709846e+01  3.246138e-01  7.544863e-02  1.837857e-02
1.719908e+01  3.085680e-01  7.445009e-02  1.829671e-02
1.729981e+01  2.825901e-01  7.216628e-02  1.828355e-02
1.739853e+01  2.489046e-01  6.953160e-02  1.830403e-02
1.749993e+01  2.186603e-01  8.410773e-02  1.833267e-02
1.759921e+01  1.963524e-01  8.885170e-02  1.835159e-02
1.769871e+01  1.764505e-01  8.551817e-02  1.835353e-02
1.779806e+01  1.704086e-01  8.047245e-02  1.834470e-02
1.789948e+01  1.699940e-01  7.842859e-02  1.834041e-02
1.799837e+01  1.697066e-01  8.051234e-02  1.834551e-02
1.809933e+01  1.638529e-01  8.024523e-02  1.835161e-02
1.819792e+01  1.632262e-01  7.693056e-02  1.835148e-02
1.829922e+01  1.597142e-01  6.949192e-02  1.833323e-02
1.839901e+01  1.594162e-01  6.020010e-02  1.831637e-02
1.849916e+01  1.558990e-01  5.759625e-02  1.831689e-02
1.859938e+01  1.516638e-01  5.456155e-02  1.834403e-02
1.869963e+01  1.594571e-01  5.117986e-02  1.837841e-02
1.879992e+01  1.599276e-01  4.809953e-02  1.839569e-02
1.889797e+01  1.504259e-01  4.602553e-02  1.839986e-02
1.899834e+01  1.491871e-01  4.369061e-02  1.840395e-02
1.909830e+01  1.537789e-01  4.136789e-02  1.841591e-02
1.919828e+01  1.642550e-01  4.013403e-02  1.844182e-02
1.929833e+01  1.684848e-01  3.861732e-02  1.846678e-02
1.939847e+01  1.765189e-01  3.822847e-02  1.846500e-02
1.949873e+01  1.826318e-01  4.217918e-02  1.840679e-02
1.959913e+01  1.806829e-01  4.287564e-02  1.830557e-02
1.969909e+01  1.812845e-01  3.971981e-02  1.818809e-02
1.979806e+01  1.851528e-01  4.238370e-02  1.807557e-02
1.989815e+01  1.908756e-01  5.336132e-02  1.795233e-02
1.999964e+01  1.976139e-01  6.153831e-02  1.781736e-02
2.000000e+01  1.976393e-01  6.157456e-02  1.781690e-02
